year_manufactured,brand,model,km_tra,fuel,trans,rto,emi,sale_price
2014,Tata,Zest,64879,Diesel,Manual,Gujarat,12333.0,262000.0
2013,Chevrolet,Sail UVA,48283,Petrol,Manual,Andhra Pradesh,9838.0,209000.0
2022,Hyundai,GRAND I10 NIOS,77979,CNG,Manual,Haryana,8778.0,497000.0
2017,Datsun,Redi Go,50126,Petrol,Manual,Telangana,3715.0,190000.0
2017,Maruti,Swift,73534,Petrol,Manual,Delhi,5968.0,305000.0
2020,Hyundai,NEW SANTRO,44040,Petrol,Manual,Uttar Pradesh,5809.0,329000.0
2014,Hyundai,i10,99114,CNG,Manual,Maharashtra,26092.0,294000.0
2021,Maruti,New Wagon-R,53245,Petrol,Manual,Uttar Pradesh,7036.0,399000.0
2021,Maruti,New Wagon-R,18008,Petrol,Manual,West Bengal,6873.0,389000.0
2017,Volkswagen,Polo,61917,Petrol,Auto,Maharashtra,10136.0,518000.0
2017,Hyundai,Grand i10,48174,Petrol,Manual,Chandigarh,6377.0,326000.0
2014,Maruti,Swift Dzire,34273,Petrol,Manual,Andhra Pradesh,12289.0,370000.0
2018,Maruti,Baleno,57999,Petrol,Manual,Delhi,6895.0,391000.0
2018,Hyundai,Verna,74022,Petrol,Auto,Tamil Nadu,10420.0,590000.0
2016,Honda,City,39073,Petrol,Manual,Delhi,9601.0,432000.0
2015,Honda,Amaze,68769,Petrol,Manual,Kerala,7584.0,288000.0
2018,Hyundai,Elite i20,57894,Petrol,Manual,Delhi,7305.0,414000.0
2015,Maruti,Swift Dzire,61070,Petrol,Manual,Delhi,8362.0,318000.0
2012,Hyundai,i20,71643,Petrol,Manual,Karnataka,26507.0,298000.0
2016,Renault,Kwid,26334,Petrol,Manual,Maharashtra,4990.0,224000.0
2017,Volkswagen,Ameo,84816,Petrol,Manual,Maharashtra,7322.0,375000.0
2015,Hyundai,Grand i10,42040,Petrol,Manual,Maharashtra,8408.0,319000.0
2019,Tata,NEXON,49278,Petrol,Auto,Haryana,8602.0,487000.0
2019,Renault,Kwid,40122,Petrol,Manual,Tamil Nadu,4926.0,279000.0
